annotator,reference,comparison_label,lang,sample_id,status,table_iaa,table_iaa_ci,node_precision,node_recall,node_iaa,node_tp,annotation_node_count,reference_node_count,node_precision_ci,node_recall_ci,node_iaa_ci,node_tp_ci,node_path_precision,node_path_recall,node_path_iaa,node_path_tp,annotation_path_node_count,reference_path_node_count,node_path_iaa_ci,annotation_path,reference_path
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,390,ok,0.000000,0.000000,0.533333,0.470588,0.500000,8,15,17,0.533333,0.470588,0.500000,8,0.533333,0.470588,0.500000,8,15,17,0.500000,IAA/stage3/annotator_A/zh/390.json,workflow/1-annotated_json/data_zh/390.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,1,ok,1.000000,1.000000,1.000000,1.000000,1.000000,37,37,37,1.000000,1.000000,1.000000,37,1.000000,1.000000,1.000000,37,37,37,1.000000,IAA/stage3/annotator_C/zh/1.json,workflow/1-annotated_json/data_zh/1.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,17,ok,0.000000,0.000000,0.880000,0.904110,0.891892,66,75,73,0.880000,0.904110,0.891892,66,0.160000,0.164384,0.162162,12,75,73,0.162162,IAA/stage3/annotator_C/zh/17.json,workflow/1-annotated_json/data_zh/17.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,22,ok,0.000000,0.000000,0.882883,0.890909,0.886878,98,111,110,0.882883,0.890909,0.886878,98,0.090090,0.090909,0.090498,10,111,110,0.090498,IAA/stage3/annotator_C/zh/22.json,workflow/1-annotated_json/data_zh/22.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,38,ok,0.000000,0.000000,0.583333,0.560000,0.571429,14,24,25,0.583333,0.560000,0.571429,14,0.083333,0.080000,0.081633,2,24,25,0.081633,IAA/stage3/annotator_C/zh/38.json,workflow/1-annotated_json/data_zh/38.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,56,ok,0.000000,0.000000,0.346154,0.274809,0.306383,36,104,131,0.346154,0.274809,0.306383,36,0.019231,0.015267,0.017021,2,104,131,0.017021,IAA/stage3/annotator_C/zh/56.json,workflow/1-annotated_json/data_zh/56.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,97,ok,0.000000,0.000000,0.774194,0.705882,0.738462,24,31,34,0.774194,0.705882,0.738462,24,0.580645,0.529412,0.553846,18,31,34,0.553846,IAA/stage3/annotator_C/zh/97.json,workflow/1-annotated_json/data_zh/97.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,111,ok,0.000000,0.000000,0.750000,0.705882,0.727273,12,16,17,0.750000,0.705882,0.727273,12,0.750000,0.705882,0.727273,12,16,17,0.727273,IAA/stage3/annotator_C/zh/111.json,workflow/1-annotated_json/data_zh/111.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,129,ok,0.000000,0.000000,0.758621,0.785714,0.771930,22,29,28,0.758621,0.785714,0.771930,22,0.689655,0.714286,0.701754,20,29,28,0.701754,IAA/stage3/annotator_C/zh/129.json,workflow/1-annotated_json/data_zh/129.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,139,ok,0.000000,0.000000,1.000000,0.988372,0.994152,85,85,86,1.000000,0.988372,0.994152,85,0.011765,0.011628,0.011696,1,85,86,0.011696,IAA/stage3/annotator_C/zh/139.json,workflow/1-annotated_json/data_zh/139.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,165,ok,0.000000,0.000000,0.976744,0.976744,0.976744,42,43,43,0.976744,0.976744,0.976744,42,0.139535,0.139535,0.139535,6,43,43,0.139535,IAA/stage3/annotator_C/zh/165.json,workflow/1-annotated_json/data_zh/165.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,176,ok,0.000000,0.000000,1.000000,0.990099,0.995025,100,100,101,1.000000,0.990099,0.995025,100,0.010000,0.009901,0.009950,1,100,101,0.009950,IAA/stage3/annotator_C/zh/176.json,workflow/1-annotated_json/data_zh/176.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,189,ok,0.000000,0.000000,0.841270,0.815385,0.828125,53,63,65,0.841270,0.815385,0.828125,53,0.142857,0.138462,0.140625,9,63,65,0.140625,IAA/stage3/annotator_C/zh/189.json,workflow/1-annotated_json/data_zh/189.json
